RefDes,Value,Name,Manufacturer part,Manufacturer,Quantity,Link,Replacement
26pin,929834-01-13,13 position pin strip,929834-01-13,3M Electronic Solutions Division,2,http://www.mouser.com/ProductDetail/3M/929834-01-13/?qs=FRjC07T2dBSSXUzZuwV4UQ%3d%3d,http://www.mouser.com/ProductDetail/Wurth-Electronics/61301311121/?qs=sGAEpiMZZMs%252bGHln7q6pm%2fFhW%252btWvhAgqSYDS2HPGWVmOMNvISGpTA==
D1,Green LED,DIODE_0805,SML-LXT0805GW-TRLumex,,1,http://www.mouser.com/Search/ProductDetail.aspx?R=SML-LXT0805GW-TRvirtualkey69600000virtualkey696-SML-LXT0805GW,
D2,Red LED,DIODE_0805,SML-LXT0805IW-TR,Lumex,1,http://www.mouser.com/Search/ProductDetail.aspx?R=SML-LXT0805IW-TRvirtualkey69600000virtualkey696-SML-LXT0805IW,
R1,180 ohms,RES_0805 ERJ-6GEYJ181V,ERJ-6GEYJ181V,Panasonic,1,http://www.mouser.com/Search/ProductDetail.aspx?R=ERJ-6GEYJ181Vvirtualkey66720000virtualkey667-ERJ-6GEYJ181V,
R2,68 ohms,RES_0805  SG73S2ATTD680J,SG73S2ATTD680J,KOA Speer,1,http://www.mouser.com/Search/ProductDetail.aspx?R=SG73S2ATTD680Jvirtualkey66000000virtualkey660-SG73S2ATTD680J,
ShroudedHeader,61202621621,Shrouded MAX / Turbot Compatible LSE,61202621621,Wurth Electronics,1,http://www.mouser.com/Search/ProductDetail.aspx?R=61202621621virtualkey51110000virtualkey710-61202621621,
